=== Задание 7: CpG islands ===
start	end	R(CG)	GC%
36847	37047	0.741	50.5
36848	37048	0.741	50.5
51433	51633	0.641	50.5
51435	51635	0.641	50.5
51436	51636	0.630	51.0
51437	51637	0.616	51.5
51438	51638	0.697	51.5
51439	51639	0.685	52.0
51440	51640	0.690	52.0
51441	51641	0.674	52.5
51442	51642	0.679	52.5
51443	51643	0.679	52.5
51444	51644	0.679	52.5
51445	51645	0.679	52.5
51446	51646	0.663	53.0
51447	51647	0.663	53.0
51448	51648	0.659	53.0
51449	51649	0.732	53.0
51450	51650	0.732	53.0
51451	51651	0.720	53.5
51452	51652	0.709	54.0
51453	51653	0.709	54.0
51454	51654	0.709	54.0
51455	51655	0.725	53.5
51456	51656	0.714	54.0
51457	51657	0.714	54.0
51458	51658	0.657	53.5
51459	51659	0.657	53.5
51460	51660	0.668	53.0
51461	51661	0.668	53.0
51462	51662	0.653	53.5
51463	51663	0.725	53.5
51464	51664	0.725	53.5
51465	51665	0.725	53.5
51466	51666	0.725	53.5
51467	51667	0.709	54.0
51468	51668	0.694	54.5
51469	51669	0.705	54.0
51470	51670	0.705	54.0
51471	51671	0.705	54.0
51472	51672	0.690	54.5
51473	51673	0.690	54.5
51474	51674	0.679	55.0
51475	51675	0.679	55.0
51476	51676	0.665	55.5
51477	51677	0.665	55.5
51478	51678	0.665	55.5
51479	51679	0.665	55.5
51480	51680	0.651	56.0
51481	51681	0.651	56.0
51482	51682	0.638	56.5
51483	51683	0.691	57.0
51484	51684	0.691	57.0
51485	51685	0.694	57.0
51486	51686	0.684	57.5
51487	51687	0.684	57.5
51488	51688	0.698	57.0
51489	51689	0.698	57.0
51490	51690	0.694	57.0
51491	51691	0.680	57.5
51492	51692	0.667	58.0
51493	51693	0.667	58.0
51494	51694	0.731	58.0
51495	51695	0.731	58.0
51496	51696	0.731	58.0
51497	51697	0.731	58.0
51498	51698	0.728	58.0
51499	51699	0.725	58.0
51500	51700	0.736	57.5
51501	51701	0.722	58.0
51502	51702	0.722	58.0
51503	51703	0.722	58.0
51504	51704	0.722	58.0
51505	51705	0.722	58.0
51506	51706	0.722	58.0
51507	51707	0.722	58.0
51508	51708	0.734	57.5
51509	51709	0.748	57.0
51510	51710	0.734	57.5
51511	51711	0.748	57.0
51512	51712	0.748	57.0
51513	51713	0.748	57.0
51514	51714	0.748	57.0
51515	51715	0.763	56.5
51516	51716	0.766	56.5
51517	51717	0.781	56.0
51518	51718	0.781	56.0
51519	51719	0.798	55.5
51520	51720	0.785	56.0
51521	51721	0.769	56.5
51522	51722	0.754	57.0
51523	51723	0.817	57.0
51524	51724	0.817	57.0
51525	51725	0.820	57.0
51526	51726	0.820	57.0
51527	51727	0.870	57.5
51528	51728	0.866	57.5
51529	51729	0.914	58.0
51530	51730	0.918	58.0
51531	51731	0.918	58.0
51532	51732	0.924	58.0
51533	51733	0.910	58.5
51534	51734	0.910	58.5
51535	51735	0.957	59.0
51536	51736	0.944	59.5
51537	51737	0.931	60.0
51538	51738	0.924	60.0
51539	51739	0.969	60.5
51540	51740	0.963	60.5
51541	51741	0.944	61.0
51542	51742	0.957	60.5
51543	51743	0.944	61.0
51544	51744	0.939	61.0
51545	51745	0.980	61.5
51546	51746	0.966	62.0
51547	51747	0.966	62.0
51548	51748	0.948	62.5
51549	51749	0.931	63.0
51550	51750	0.914	63.5
51551	51751	0.927	63.0
51552	51752	0.931	63.0
51553	51753	0.931	63.0
51554	51754	0.931	63.0
51555	51755	0.931	63.0
51556	51756	0.914	63.5
51557	51757	0.927	63.0
51558	51758	0.914	63.5
51559	51759	0.918	63.5
51560	51760	0.905	64.0
51561	51761	0.905	64.0
51562	51762	0.905	64.0
51563	51763	0.905	64.0
51564	51764	0.893	64.5
51565	51765	0.889	64.5
51566	51766	0.873	65.0
51567	51767	0.909	65.5
51568	51768	0.922	65.0
51569	51769	0.909	65.5
51570	51770	0.897	66.0
51571	51771	0.882	66.5
51572	51772	0.928	66.5
51573	51773	0.916	67.0
51574	51774	0.916	67.0
51575	51775	0.916	67.0
51576	51776	0.904	67.5
51577	51777	0.900	67.5
51578	51778	0.912	67.0
51579	51779	0.912	67.0
51580	51780	0.900	67.5
51581	51781	0.904	67.5
51582	51782	0.889	68.0
51583	51783	0.933	68.0
51584	51784	0.921	68.5
51585	51785	0.921	68.5
51586	51786	0.933	68.0
51587	51787	0.949	67.5
51588	51788	0.904	67.5
51589	51789	0.900	67.5
51590	51790	0.945	67.5
51591	51791	0.945	67.5
51592	51792	0.904	67.5
51593	51793	0.916	67.0
51594	51794	0.874	67.0
51595	51795	0.874	67.0
51596	51796	0.870	67.0
51597	51797	0.916	67.0
51598	51798	0.916	67.0
51599	51799	0.928	66.5
51600	51800	0.932	66.5
51601	51801	0.916	67.0
51602	51802	0.870	67.0
51603	51803	0.882	66.5
51604	51804	0.839	66.5
51605	51805	0.835	66.5
51606	51806	0.850	66.0
51607	51807	0.854	66.0
51608	51808	0.854	66.0
51609	51809	0.854	66.0
51610	51810	0.854	66.0
51611	51811	0.859	66.0
51612	51812	0.843	66.5
51613	51813	0.828	67.0
51614	51814	0.879	67.0
51615	51815	0.895	66.5
51616	51816	0.901	66.5
51617	51817	0.901	66.5
51618	51818	0.912	66.0
51619	51819	0.918	66.0
51620	51820	0.907	66.5
51621	51821	0.907	66.5
51622	51822	0.943	67.0
51623	51823	0.925	67.5
51624	51824	0.908	68.0
51625	51825	0.919	67.5
51626	51826	0.914	67.5
51627	51827	0.909	67.5
51628	51828	0.942	68.0
51629	51829	0.937	68.0
51630	51830	0.949	67.5
51631	51831	0.949	67.5
51632	51832	0.920	67.0
51633	51833	0.916	67.0
51634	51834	0.900	67.5
51635	51835	0.912	67.0
51636	51836	0.912	67.0
51637	51837	0.866	67.0
51638	51838	0.863	67.0
51639	51839	0.875	66.5
51640	51840	0.875	66.5
51641	51841	0.832	66.5
51642	51842	0.832	66.5
51643	51843	0.829	66.5
51644	51844	0.863	67.0
51645	51845	0.863	67.0
51646	51846	0.863	67.0
51647	51847	0.849	67.5
51648	51848	0.804	67.5
51649	51849	0.815	67.0
51650	51850	0.804	67.5
51651	51851	0.802	67.5
51652	51852	0.846	67.5
51653	51853	0.846	67.5
51654	51854	0.849	67.5
51655	51855	0.849	67.5
51656	51856	0.846	67.5
51657	51857	0.858	67.0
51658	51858	0.844	67.5
51659	51859	0.842	67.5
51660	51860	0.874	68.0
51661	51861	0.860	68.5
51662	51862	0.817	68.5
51663	51863	0.829	68.0
51664	51864	0.816	68.5
51665	51865	0.828	68.0
51666	51866	0.828	68.0
51667	51867	0.840	67.5
51668	51868	0.854	67.0
51669	51869	0.854	67.0
51670	51870	0.854	67.0
51671	51871	0.868	66.5
51672	51872	0.882	66.0
51673	51873	0.882	66.0
51674	51874	0.894	65.5
51675	51875	0.907	65.0
51676	51876	0.922	64.5
51677	51877	0.922	64.5
51678	51878	0.909	65.0
51679	51879	0.909	65.0
51680	51880	0.925	64.5
51681	51881	0.912	65.0
51682	51882	0.879	64.5
51683	51883	0.891	64.0
51684	51884	0.904	63.5
51685	51885	0.904	63.5
51686	51886	0.917	63.0
51687	51887	0.917	63.0
51688	51888	0.902	63.5
51689	51889	0.902	63.5
51690	51890	0.904	63.5
51691	51891	0.920	63.0
51692	51892	0.923	63.0
51693	51893	0.888	62.5
51694	51894	0.888	62.5
51695	51895	0.888	62.5
51696	51896	0.904	62.0
51697	51897	0.888	62.5
51698	51898	0.888	62.5
51699	51899	0.904	62.0
51700	51900	0.888	62.5
51701	51901	0.888	62.5
51702	51902	0.872	63.0
51703	51903	0.856	63.5
51704	51904	0.856	63.5
51705	51905	0.856	63.5
51706	51906	0.856	63.5
51707	51907	0.844	64.0
51708	51908	0.833	64.5
51709	51909	0.821	65.0
51710	51910	0.836	64.5
51711	51911	0.836	64.5
51712	51912	0.821	65.0
51713	51913	0.821	65.0
51714	51914	0.821	65.0
51715	51915	0.810	65.5
51716	51916	0.807	65.5
51717	51917	0.807	65.5
51718	51918	0.796	66.0
51719	51919	0.796	66.0
51720	51920	0.807	65.5
51721	51921	0.821	65.0
51722	51922	0.787	64.5
51723	51923	0.798	64.0
51724	51924	0.809	63.5
51725	51925	0.820	63.0
51726	51926	0.769	63.0
51727	51927	0.780	62.5
51728	51928	0.731	62.5
51729	51929	0.742	62.0
51730	51930	0.752	61.5
51731	51931	0.752	61.5
51732	51932	0.764	61.0
51733	51933	0.764	61.0
51734	51934	0.712	61.0
51735	51935	0.709	61.0
51736	51936	0.764	61.0
51737	51937	0.775	60.5
51738	51938	0.733	60.0
51739	51939	0.744	59.5
51740	51940	0.759	59.0
51741	51941	0.773	58.5
51742	51942	0.759	59.0
51743	51943	0.770	58.5
51744	51944	0.725	58.0
51745	51945	0.736	57.5
51746	51946	0.748	57.0
51747	51947	0.734	57.5
51748	51948	0.748	57.0
51749	51949	0.763	56.5
51750	51950	0.778	56.0
51751	51951	0.778	56.0
51752	51952	0.791	55.5
51753	51953	0.791	55.5
51754	51954	0.843	56.0
51755	51955	0.843	56.0
51756	51956	0.860	55.5
51757	51957	0.846	56.0
51758	51958	0.860	55.5
51759	51959	0.857	55.5
51760	51960	0.871	55.0
51761	51961	0.871	55.0
51762	51962	0.871	55.0
51763	51963	0.886	54.5
51764	51964	0.901	54.0
51765	51965	0.901	54.0
51766	51966	0.849	53.5
51767	51967	0.864	53.0
51768	51968	0.864	53.0
51769	51969	0.861	53.0
51770	51970	0.933	53.0
51771	51971	0.879	52.5
51772	51972	0.879	52.5
51773	51973	0.879	52.5
51774	51974	0.895	52.0
51775	51975	0.877	52.5
51776	51976	0.950	52.5
51777	51977	0.970	52.0
51778	51978	0.950	52.5
51779	51979	1.005	53.0
51780	51980	1.023	52.5
51781	51981	1.042	52.0
51782	51982	0.970	52.0
51783	51983	0.988	51.5
51784	51984	0.988	51.5
51785	51985	1.006	51.0
51786	51986	1.006	51.0
51787	51987	0.988	51.5
51788	51988	1.008	51.0
51789	51989	0.950	50.5
51790	51990	0.948	50.5
88293	88493	0.618	50.5
88304	88504	0.637	50.5
88305	88505	0.637	50.5
88306	88506	0.637	50.5
88307	88507	0.637	50.5
88309	88509	0.637	50.5
88310	88510	0.637	50.5
88311	88511	0.637	50.5
88312	88512	0.717	50.5
88314	88514	0.706	50.5
88315	88515	0.609	50.5
88316	88516	0.618	50.5
88317	88517	0.609	51.0
88319	88519	0.676	51.5
88320	88520	0.666	52.0
88321	88521	0.656	52.5
88322	88522	0.666	52.0
88323	88523	0.666	52.0
88324	88524	0.656	52.5
88325	88525	0.647	53.0
88326	88526	0.666	52.5
88327	88527	0.686	52.0
88328	88528	0.696	51.5
88329	88529	0.696	51.5
88330	88530	0.696	51.5
88331	88531	0.696	51.5
88332	88532	0.676	52.0
88333	88533	0.666	52.5
88334	88534	0.666	52.5
88335	88535	0.666	52.5
88336	88536	0.666	52.5
88337	88537	0.666	52.5
88338	88538	0.686	52.0
88339	88539	0.696	51.5
88340	88540	0.696	51.5
88341	88541	0.685	51.5
88342	88542	0.685	51.5
88343	88543	0.685	51.5
88344	88544	0.685	51.5
88345	88545	0.676	52.0
88346	88546	0.676	52.0
88347	88547	0.656	52.5
88348	88548	0.656	52.5
88349	88549	0.656	52.5
88350	88550	0.647	52.5
88351	88551	0.638	53.0
88352	88552	0.638	53.0
88353	88553	0.638	53.0
88354	88554	0.638	53.0
88355	88555	0.638	53.0
88356	88556	0.647	52.5
88357	88557	0.647	52.5
88358	88558	0.647	52.5
88359	88559	0.647	52.5
88360	88560	0.647	52.5
88361	88561	0.639	52.5
88362	88562	0.657	52.0
88363	88563	0.667	51.5
88364	88564	0.657	52.0
88365	88565	0.657	52.0
88366	88566	0.657	52.0
88367	88567	0.657	52.0
88368	88568	0.649	52.0
88369	88569	0.639	52.5
88370	88570	0.657	52.0
88371	88571	0.657	52.0
88372	88572	0.676	51.5
88373	88573	0.685	51.5
88374	88574	0.685	51.5
88375	88575	0.676	52.0
88376	88576	0.738	52.5
88377	88577	0.749	52.0
88378	88578	0.739	52.0
88379	88579	0.730	52.0
88380	88580	0.721	52.0
88381	88581	0.711	52.5
88382	88582	0.721	52.0
88383	88583	0.721	52.0
88384	88584	0.711	52.5
88385	88585	0.721	52.0
88386	88586	0.641	52.0
88387	88587	0.658	51.5
88392	88592	0.601	50.5
88396	88596	0.609	50.5
88408	88608	0.609	50.5
88410	88610	0.601	50.5
88428	88628	0.618	50.5
88429	88629	0.618	50.5
88430	88630	0.618	50.5
88431	88631	0.618	50.5
88432	88632	0.618	50.5
88433	88633	0.609	51.0
88434	88634	0.627	50.5
88435	88635	0.609	51.0
88436	88636	0.618	50.5
88437	88637	0.609	51.0
88439	88639	0.609	51.0
88450	88650	0.600	51.0
88451	88651	0.618	50.5
88452	88652	0.600	51.0
